filepath,label_name,label_id
dataset\raw\bike\Image_1.jpeg,bike,0
dataset\raw\bike\Image_10.jpg,bike,0
dataset\raw\bike\Image_100.jpg,bike,0
dataset\raw\bike\Image_11.jpg,bike,0
dataset\raw\bike\Image_12.jpg,bike,0
dataset\raw\bike\Image_13.jpg,bike,0
dataset\raw\bike\Image_14.jpeg,bike,0
dataset\raw\bike\Image_15.png,bike,0
dataset\raw\bike\Image_16.jpg,bike,0
dataset\raw\bike\Image_17.jpg,bike,0
dataset\raw\bike\Image_18.jpg,bike,0
dataset\raw\bike\Image_19.jpg,bike,0
dataset\raw\bike\Image_2.jpg,bike,0
dataset\raw\bike\Image_20.jpg,bike,0
dataset\raw\bike\Image_21.png,bike,0
dataset\raw\bike\Image_22.jpg,bike,0
dataset\raw\bike\Image_23.jpg,bike,0
dataset\raw\bike\Image_24.jpg,bike,0
dataset\raw\bike\Image_25.jpg,bike,0
dataset\raw\bike\Image_26.jpg,bike,0
dataset\raw\bike\Image_27.jpg,bike,0
dataset\raw\bike\Image_28.jpg,bike,0
dataset\raw\bike\Image_29.jpeg,bike,0
dataset\raw\bike\Image_3.jpg,bike,0
dataset\raw\bike\Image_30.png,bike,0
dataset\raw\bike\Image_31.jpg,bike,0
dataset\raw\bike\Image_32.JPG,bike,0
dataset\raw\bike\Image_33.jpg,bike,0
dataset\raw\bike\Image_34.JPG,bike,0
dataset\raw\bike\Image_35.jpg,bike,0
dataset\raw\bike\Image_36.jpg,bike,0
dataset\raw\bike\Image_37.jpg,bike,0
dataset\raw\bike\Image_38.jpeg,bike,0
dataset\raw\bike\Image_39.jpg,bike,0
dataset\raw\bike\Image_4.jpg,bike,0
dataset\raw\bike\Image_40.jpg,bike,0
dataset\raw\bike\Image_41.jpg,bike,0
dataset\raw\bike\Image_42.jpg,bike,0
dataset\raw\bike\Image_43.jpeg,bike,0
dataset\raw\bike\Image_44.jpg,bike,0
dataset\raw\bike\Image_45.jpg,bike,0
dataset\raw\bike\Image_46.jpg,bike,0
dataset\raw\bike\Image_47.jpg,bike,0
dataset\raw\bike\Image_48.jpg,bike,0
dataset\raw\bike\Image_49.jpg,bike,0
dataset\raw\bike\Image_5.jpg,bike,0
dataset\raw\bike\Image_50.jpg,bike,0
dataset\raw\bike\Image_51.jpg,bike,0
dataset\raw\bike\Image_52.jpg,bike,0
dataset\raw\bike\Image_53.jpg,bike,0
dataset\raw\bike\Image_54.jpg,bike,0
dataset\raw\bike\Image_55.JPG,bike,0
dataset\raw\bike\Image_56.jpg,bike,0
dataset\raw\bike\Image_57.jpg,bike,0
dataset\raw\bike\Image_58.png,bike,0
dataset\raw\bike\Image_59.jpg,bike,0
dataset\raw\bike\Image_6.jpg,bike,0
dataset\raw\bike\Image_60.jpg,bike,0
dataset\raw\bike\Image_61.jpg,bike,0
dataset\raw\bike\Image_62.jpg,bike,0
dataset\raw\bike\Image_63.JPG,bike,0
dataset\raw\bike\Image_64.jpg,bike,0
dataset\raw\bike\Image_65.jpg,bike,0
dataset\raw\bike\Image_66.jpg,bike,0
dataset\raw\bike\Image_67.jpg,bike,0
dataset\raw\bike\Image_68.jpeg,bike,0
dataset\raw\bike\Image_69.jpg,bike,0
dataset\raw\bike\Image_7.jpg,bike,0
dataset\raw\bike\Image_70.jpg,bike,0
dataset\raw\bike\Image_71.jpg,bike,0
dataset\raw\bike\Image_72.jpg,bike,0
dataset\raw\bike\Image_73.jpg,bike,0
dataset\raw\bike\Image_74.jpg,bike,0
dataset\raw\bike\Image_75.jpg,bike,0
dataset\raw\bike\Image_76.jpeg,bike,0
dataset\raw\bike\Image_77.jpg,bike,0
dataset\raw\bike\Image_78.jpeg,bike,0
dataset\raw\bike\Image_79.jpg,bike,0
dataset\raw\bike\Image_8.jpg,bike,0
dataset\raw\bike\Image_80.jpg,bike,0
dataset\raw\bike\Image_81.jpg,bike,0
dataset\raw\bike\Image_82.jpg,bike,0
dataset\raw\bike\Image_83.jpeg,bike,0
dataset\raw\bike\Image_84.jpg,bike,0
dataset\raw\bike\Image_85.jpeg,bike,0
dataset\raw\bike\Image_86.jpg,bike,0
dataset\raw\bike\Image_87.jpg,bike,0
dataset\raw\bike\Image_88.JPG,bike,0
dataset\raw\bike\Image_89.jpg,bike,0
dataset\raw\bike\Image_9.jpg,bike,0
dataset\raw\bike\Image_90.jpg,bike,0
dataset\raw\bike\Image_91.jpg,bike,0
dataset\raw\bike\Image_92.jpg,bike,0
dataset\raw\bike\Image_93.jpg,bike,0
dataset\raw\bike\Image_94.JPG,bike,0
dataset\raw\bike\Image_95.jpg,bike,0
dataset\raw\bike\Image_96.jpeg,bike,0
dataset\raw\bike\Image_97.JPG,bike,0
dataset\raw\bike\Image_98.jpg,bike,0
dataset\raw\bike\Image_99.jpg,bike,0
dataset\raw\bus\Image_1.jpg,bus,1
dataset\raw\bus\Image_10.jpg,bus,1
dataset\raw\bus\Image_100.jpg,bus,1
dataset\raw\bus\Image_11.jpg,bus,1
dataset\raw\bus\Image_12.jpg,bus,1
dataset\raw\bus\Image_13.jpg,bus,1
dataset\raw\bus\Image_14.jpg,bus,1
dataset\raw\bus\Image_15.jpg,bus,1
dataset\raw\bus\Image_16.jpg,bus,1
dataset\raw\bus\Image_17.jpg,bus,1
dataset\raw\bus\Image_18.jpg,bus,1
dataset\raw\bus\Image_19.jpg,bus,1
dataset\raw\bus\Image_2.jpg,bus,1
dataset\raw\bus\Image_20.jpg,bus,1
dataset\raw\bus\Image_21.jpg,bus,1
dataset\raw\bus\Image_22.jpg,bus,1
dataset\raw\bus\Image_23.jpg,bus,1
dataset\raw\bus\Image_24.png,bus,1
dataset\raw\bus\Image_25.png,bus,1
dataset\raw\bus\Image_26.jpg,bus,1
dataset\raw\bus\Image_27.jpg,bus,1
dataset\raw\bus\Image_28.JPG,bus,1
dataset\raw\bus\Image_29.jpg,bus,1
dataset\raw\bus\Image_3.JPG,bus,1
dataset\raw\bus\Image_30.jpg,bus,1
dataset\raw\bus\Image_31.jpg,bus,1
dataset\raw\bus\Image_32.jpg,bus,1
dataset\raw\bus\Image_33.JPG,bus,1
dataset\raw\bus\Image_34.jpg,bus,1
